appname,freq,correct_appname
ss sport ch ,2,
as,2,
c  3,2,
ss ethica y,2,
by,2,
26 marzo,2,
bolt,2,
board kings,2,
2e board kings,2,
bn,2,
wps office,2,
300,2,
37m,2,
4,2,
4   onefootball,2,
4  hay day,2,
ba,2,
spotify   2,2,
4  onefootball x,2,
4  whatsapp,2,
wo,2,
ss,2,
4 onefootball x,2,
ag,2,
afar 7,2,
tcs,2,
te,2,
a imetanram,2,
a hay day y,2,
a hay day,2,
a golf battle,2,
township,2,
a  whatsapp,2,
a 12,2,
a 93,2,
translate,2,
a 122,2,
a 14,2,
tu cooking fever,2,
a 7 balls go high,2,
a 7,2,
vee episode,2,
twitter ,2,
a 39,2,
a 34,2,
a 32,2,
a instagram   a,2,
tn moodle y,2,
tn moodle,2,
8,2,
teams,2,
ae hay day,2,
telefono 5,2,
telefono y,2,
watt,2,
telegram x,2,
want pizza,2,
tf tiktok,2,
aa tiktok,2,
tmin,2,
thidmin,2,
ticrx,2,
8h,2,
w wattpad y,2,
9 orologio ,2,
a settings,2,
tiktok z,2,
w telefono,2,
smai,2,
a 27,2,
cf  tiktok,2,
cats soup,2,
cf   tiktok,2,
safari j,2,
2 ethica,2,
2 aprile,2,
scuola,2,
0 simcity y,2,
sc  instagram ,2,
1   vlc,2,
1 aprile,2,
ca  it astro seek com,2,
calcolatrice y,2,
15m,2,
youtube 4,2,
x tiktok,2,
y  hay day y,2,
2  hay day,2,
samsung internet,2,
c  google ch y,2,
22 marzo,2,
wa business y,1,
wa camera,1,
ome note,1,
w twitch,1,
youtube i,1,
onogram co,1,
mw netflix,1,
on 126,1,
on 1a,1,
wa 9,1,
on 248,1,
wa business,1,
on ee ee ed ce ce eee ei oa ta,1,
on 309,1,
w we  fotocamera,1,
on hay day,1,
on hay day 5,1,
my daily planner r,1,
on impostazioni x,1,
w twitch x,1,
w warped,1,
wa camera y,1,
my mini mart 5,1,
ona 140,1,
wa,1,
ond 132,1,
on tiktok,1,
nstagram,1,
